,BF_NB,BNaive_NB,BTCAplus_NB,BTNB_NB,CFPS_NB,DFAC_NB,DMDA_JFR_NB,EASC_NB,HISNN_NB,HSBF_NB,TCAplus_NB,TNB_NB,WiFLF_NB
ant-1.3,0.051297405,0.179241517,0.347305389,0,0.033732535,0.031536926,0.286027944,0.036926148,0.033732535,0.22754491,0.010778443,0.019760479,0.357884232
arc-1,0.260225443,0.222544283,0.3647343,0,0.048148148,0.04863124,0.089855072,0.049436393,0.03510467,0.043478261,0.016425121,0.033011272,0.351851852
camel-1.0,0.088548057,0.223619632,0.407770961,0,0.032924335,0.026789366,0.218404908,0.030163599,0.023006135,0.039877301,0.000102249,0.046932515,0.364417178
ivy-1.4,0.158962963,0.258222222,0.324888889,0,0.081333333,0.078814815,0.218518519,0.080148148,0.044592593,0.053333333,0.383555556,0.035851852,0.410814815
jedit-3.2,0.14047619,0.212271062,0.168681319,0,0.078205128,0.08003663,0.366117216,0.082783883,0.055494505,0.269230769,1,0.046886447,0.403479853
log4j-1.0,0.121782178,0.044884488,0.264686469,0,0,0,0.06369637,0,0.000660066,0.01980198,0.008250825,0.011881188,0.192079208
lucene-2.0,0.273076923,0.258653846,0.236217949,0,0.01025641,0.014102564,0.259615385,0.014102564,0.002884615,0.269230769,0.052884615,0.004166667,0.348397436
poi-2.0,0.07954272,0.413959085,0.53898917,0,0.08543923,0.08387485,0.351022864,0.08820698,0.058363418,0.140794224,0.341395909,0.050421179,0.625631769
redaktor-1,0.880536913,0.352572707,0.365100671,0,0.043847875,0.043847875,0.361521253,0.047427293,0.032885906,0.503355705,0.02885906,0.001565996,0.669574944
synapse-1.0,0.038770686,0.235460993,0.427895981,0,0.059574468,0.056973995,0.206619385,0.057683215,0.039243499,0.510638298,0.01607565,0.034751773,0.589834515
tomcat-6.0.389418,0.7368758,0.286513017,0.271959027,0,0.117626974,0.110115237,0.229492104,0.114810073,0.107767819,0.102432778,0.316688007,0.051173709,0.442338882
velocity-1.6,0.132229581,0.171743929,0.309271523,0,0.034216336,0.029580574,0.153200883,0.034878587,0.020750552,0.01986755,0.268432671,0.006181015,0.300662252
xalan-2.4,0.108482871,0.366449157,0.288907015,0,0.243556281,0.218542686,0.487493203,0.22718869,0.156715606,0.200652529,0.325285481,0.094671017,0.606090266
xerces-init,0.149803922,0.293333333,0.338431373,0,0.138039216,0.138823529,0.212156863,0.140784314,0.078431373,0.152941176,0.317254902,0.015294118,0.439607843
ant-1.7,0.051755901,0.217098446,0.307599309,0,0.067587795,0.055958549,0.392227979,0.0582038,0.045768566,0.20552677,0.316637881,0.02412205,0.471272309
arc-1,0.077777778,0.223188406,0.401932367,0,0.057971014,0.048148148,0.071175523,0.048309179,0.050402576,0.043478261,0.001288245,0.028985507,0.357004831
camel-1.6,0.061904762,0.226640927,0.377177177,0,0.083097383,0.06984127,0.236808237,0.070527671,0.064993565,0.127413127,0.408537109,0.043028743,0.368554269
ivy-2.0,0.252884615,0.254807692,0.294551282,0,0.111538462,0.087820513,0.155448718,0.090491453,0.068162393,0.256410256,0.315811966,0.035363248,0.424038462
jedit-4.3,0.0996535,0.357657658,0.478932779,0,0.21004851,0.192030492,0.348925849,0.198891199,0.158281358,0.276507277,1,0.118225918,0.601316701
log4j-1.1,0.072222222,0.04212963,0.224074074,0,0.013888889,0.013425926,0.017592593,0.013888889,0.013888889,0.041666667,0,0,0.233796296
lucene-2.0,0.124679487,0.233974359,0.250961538,0,0.009615385,0.010576923,0.215064103,0.010576923,0.003205128,0.009615385,0.015384615,0,0.392628205
poi-2.0,0.064620939,0.41022864,0.531287605,0,0.103850782,0.08820698,0.350902527,0.089410349,0.063297232,0.21299639,0.421419976,0.084596871,0.630445247
redaktor-1,0,0.334899329,0.393736018,0,0.058389262,0.043847875,0.340715884,0.043624161,0.051454139,0.060402685,0.011856823,0.000447427,0.724384787
synapse-1.2,0.022745098,0.18254902,0.249215686,0,0.090980392,0.067058824,0.275098039,0.067254902,0.050196078,0.476470588,0,0.006666667,0.47372549
tomcat-6.0.389418,0.003585147,0.291335894,0.277037985,0,0.12893726,0.115578318,0.162398634,0.118309859,0.119291507,0.161331626,0.345667947,0.048954332,0.457319676
velocity-1.6,0.106401766,0.17196468,0.303532009,0,0.048785872,0.028918322,0.137527594,0.031788079,0.01611479,0.245033113,0.291390728,0.000441501,0.324724062
xalan-2.6,0.059493671,0.397046414,0.268424754,0,0.097819972,0.093811533,0.421237693,0.108157525,0.078270042,0.200421941,0.282841069,0.046624473,0.491068917
xerces-1.3,0.244878472,0.2859375,0.170399306,0,0.098524306,0.077604167,0.23125,0.077864583,0.064583333,0.088541667,0.300434028,0.025260417,0.40703125
EQ,0.704102564,0.08991453,0.132820513,0,0.037094017,0.041025641,0.177094017,0.041538462,0.029059829,0.082051282,0.035213675,0.028547009,0.312136752
JDT,0.548841129,0.521618205,0.465571007,0,0.50956595,0.300463548,0.634471134,0.291824694,0.152043826,0.723135272,0.788579857,0.089169827,0.404340497
LC,0.715683147,0.090164806,0.299255715,0,0.116002127,0.062785752,0.237692717,0.040191388,0.03062201,0.210526316,0.05497076,0.020042531,0.462838915
ML,0.955246341,0.681797568,0.349494949,0,0.367388167,0.391609977,0.39167182,0.38989899,0.201422387,0.772418058,0.307833436,0.049866007,0.734858792
PDE,0.974689441,0.138509317,0.230797101,0,0.085248447,0.084575569,0.253571429,0.102173913,0.065139752,0.364906832,0.000698758,0.084989648,0.538379917
Apache,0,0.523263889,0.637847222,0.209027778,0.520833333,0.515625,0.763541667,0.545138889,0.443055556,0.541666667,1,0.585763889,0.830208333
Safe,0.487254902,0.267647059,0.3,0,0.030392157,0,0.458823529,0.033333333,0.030392157,0.264705882,0.62254902,0.13627451,0.441176471
Zxing,0.483748517,0.089086595,0.028825623,0,0.036892052,0.031791222,0.046263345,0.1,0.11767497,0.085409253,1,0.052906287,0.107117438
Average,0.259243918,0.265303607,0.323008724,0.005806327,0.108093106,0.093954857,0.272867917,0.099331615,0.072415372,0.222328192,0.294641788,0.054522947,0.452528685
