"","OverallRank","models","MedianRank","AverageRank","StandardDeviation"
"1",1,"BTNB",11.2777777777778,11.2777777777778,NA
"2",2,"BF",8.86111111111111,8.86111111111111,NA
"3",3,"HISNN,TNB",8.29166666666667,8.29166666666667,0.216060405362556
"4",4,"DFAC,EASC",6.51388888888889,6.51388888888889,0.176776695296637
"5",5,"TCAplus,CFPS",5.91666666666667,5.91666666666667,0.274985970461435
"6",6,"DMDA.JFR,HSBF",4.69444444444444,4.69444444444444,0.117851130197758
"7",7,"BNaive",3.38888888888889,3.38888888888889,NA
"8",8,"BTCAplus",2.88888888888889,2.88888888888889,NA
"9",9,"WiFLF",2.36111111111111,2.36111111111111,NA
